Location,Male,Female
United States,0.489,0.511
Alabama,0.481,0.520
Alaska,0.503,0.497
Arizona,0.492,0.508
Arkansas,0.486,0.515
California,0.494,0.506
Colorado,0.498,0.502
Connecticut,0.485,0.515
Delaware,0.479,0.521
District of Columbia,0.472,0.529
Florida,0.484,0.516
Georgia,0.481,0.519
Hawaii,0.490,0.510
Idaho,0.499,0.501
Illinois,0.490,0.510
Indiana,0.489,0.511
Iowa,0.496,0.504
Kansas,0.495,0.505
Kentucky,0.487,0.513
Louisiana,0.482,0.518
Maine,0.485,0.515
Maryland,0.481,0.519
Massachusetts,0.486,0.514
Michigan,0.490,0.510
Minnesota,0.499,0.501
Mississippi,0.478,0.522
Missouri,0.487,0.513
Montana,0.505,0.495
Nebraska,0.496,0.504
Nevada,0.498,0.502
New Hampshire,0.494,0.506
New Jersey,0.486,0.515
New Mexico,0.491,0.509
New York,0.484,0.517
North Carolina,0.481,0.520
North Dakota,0.509,0.491
Ohio,0.489,0.511
Oklahoma,0.490,0.510
Oregon,0.494,0.506
Pennsylvania,0.487,0.513
Rhode Island,0.486,0.514
South Carolina,0.480,0.520
South Dakota,0.501,0.499
Tennessee,0.485,0.515
Texas,0.492,0.508
Utah,0.503,0.497
Vermont,0.494,0.506
Virginia,0.485,0.515
Washington,0.497,0.503
West Virginia,0.493,0.507
Wisconsin,0.495,0.505
Wyoming,0.504,0.496
Puerto Rico,0.474,0.526
