statefips,date,ds_o3_pred,ds_o3_stdd
1,01APR2011,45.02694062086514,5.020225057675996
1,01APR2012,40.06868532654792,3.5768312128922815
1,01APR2013,46.28901187446989,3.8702678541136555
1,01APR2014,50.27139041560644,4.445189397794741
1,01AUG2011,48.238357259541985,6.061553349448686
1,01AUG2012,56.14263384223918,6.560225614927905
1,01AUG2013,37.42771586089907,4.703154198473282
1,01AUG2014,45.95863944020356,5.581665903307888
1,01DEC2011,24.917984884648007,4.4063420610687025
1,01DEC2012,37.451541306191686,5.5611170483460555
1,01DEC2013,31.59882213740458,6.716603053435114
1,01DEC2014,29.58752595419847,6.079066921119593
1,01FEB2011,32.33041501950806,6.190113815097541
1,01FEB2012,32.81792765055131,5.406090415606446
1,01FEB2013,37.35352536047498,6.283528583545378
1,01FEB2014,33.18440330788804,6.2426328244274805
1,01JAN2011,32.81493096437659,6.266391231552163
1,01JAN2012,31.606091178965226,5.6278385072095
1,01JAN2013,29.465074639525017,5.133950466497032
1,01JAN2014,21.571347667514843,5.2306408821034776
1,01JUL2011,67.10513328074639,6.904885880407125
1,01JUL2012,56.26322340966921,5.747409329940628
1,01JUL2013,44.594721289228154,5.234535199321459
1,01JUL2014,29.292589737065313,4.609486683630195
1,01JUN2011,59.695530553011025,5.867030832909245
1,01JUN2012,46.648486938083124,5.049525699745547
1,01JUN2013,26.512894910941476,3.789862171331637
1,01JUN2014,34.16399457167091,3.588752247667515
1,01MAR2011,40.71750954113656,4.8753177692960135
1,01MAR2012,34.98962866836302,3.8983611535199323
1,01MAR2013,38.59019041560644,4.693992960135708
1,01MAR2014,45.31845776081425,4.607519847328245
1,01MAY2011,50.32185593384224,4.825945683630195
1,01MAY2012,43.36330025445292,4.286029262086514
1,01MAY2013,39.0567133163698,3.738863189143342
1,01MAY2014,43.33248134011874,4.282774639525021
1,01NOV2011,47.094646671755726,6.195308915182358
1,01NOV2012,41.234456658184904,6.780791772688719
1,01NOV2013,30.45606844783715,4.885077438507209
1,01NOV2014,29.531124766751486,3.9330307888040714
1,01OCT2011,36.665142368956744,4.057522028837998
1,01OCT2012,26.021516793893127,4.073618066157761
1,01OCT2013,34.79355911789652,4.271336132315522
1,01OCT2014,41.22239787955895,5.1192839694656485
1,01SEP2011,47.281116759966075,5.212060041560644
1,01SEP2012,20.28611518235793,3.280363613231552
1,01SEP2013,40.905685581000846,4.766213994910941
1,01SEP2014,26.492813570822733,3.5707535199321456
1,02APR2011,52.1551299389313,4.275476442748092
1,02APR2012,36.87085614927905,3.9734738761662425
1,02APR2013,51.16735920271417,4.121596268023749
1,02APR2014,41.24055207803223,4.855679050042409
1,02AUG2011,59.258674715860906,6.458167634435963
1,02AUG2012,43.65593596268024,5.6238904156064455
1,02AUG2013,45.953163104325704,5.2246833757421545
1,02AUG2014,43.800875148430876,5.035169550466497
1,02DEC2011,28.550214606446144,5.208313759966073
1,02DEC2012,36.676417642069545,5.46803240033927
1,02DEC2013,27.915669635284143,6.938967430025445
1,02DEC2014,27.719948939779474,6.554258693808312
1,02FEB2011,33.22213851908397,6.059786969465649
1,02FEB2012,36.84345419847328,5.679666242578456
1,02FEB2013,36.82501255301103,7.224589906700593
1,02FEB2014,28.892394826123837,6.554595419847328
1,02JAN2011,34.49050691942324,6.8375643494486855
1,02JAN2012,34.380488973706534,6.071323324851569
1,02JAN2013,23.140476420695503,5.4123492790500425
1,02JAN2014,29.006273112807463,6.387817896522477
1,02JUL2011,62.66370397964376,6.781489522476675
1,02JUL2012,49.20929804919423,5.719959711620017
1,02JUL2013,47.21040084817642,5.342901950805768
1,02JUL2014,42.063492111959285,5.329780407124682
1,02JUN2011,63.374568617472434,5.710777259541985
1,02JUN2012,50.91838150975403,4.650588719253605
1,02JUN2013,33.487646564885495,4.137847073791349
1,02JUN2014,36.53545063613232,3.8169096692111957
1,02MAR2011,45.665006731128074,5.613987691263783
1,02MAR2012,31.498257421543684,3.5306949957591183
1,02MAR2013,35.1200534351145,4.342647582697201
1,02MAR2014,42.82921433418151,4.5597832909245115
1,02MAY2011,43.06847112807464,4.730967589482612
1,02MAY2012,35.36475835453774,3.725685496183206
1,02MAY2013,36.01397718405428,3.784167260390161
1,02MAY2014,50.14021730279898,4.2906569974554705
1,02NOV2011,47.40446887955895,6.55512841475827
1,02NOV2012,52.86986963528414,6.300399406276505
1,02NOV2013,35.26527150127227,5.340623579304495
1,02NOV2014,36.89875581000848,4.501658015267176
1,02OCT2011,38.6125990033927,4.273064708227311
1,02OCT2012,27.776620865139947,4.49828074639525
1,02OCT2013,37.0606754028838,4.66879219677693
1,02OCT2014,31.194752756573365,4.048256573367261
1,02SEP2011,56.040814860050894,5.946733772688719
1,02SEP2012,28.06337955894826,3.9171942324003397
1,02SEP2013,38.44495258693808,4.9570935538592025
1,02SEP2014,28.305022815945716,4.007321798134012
1,03APR2011,51.38736885920272,4.087048026293469
1,03APR2012,42.39591280746395,4.134210941475827
1,03APR2013,40.175192281594576,3.8608587786259543
1,03APR2014,39.46156743002545,4.1597845631891435
1,03AUG2011,54.159949701441896,6.227167423240034
1,03AUG2012,37.19550076335878,5.130145631891434
1,03AUG2013,38.55100330788804,5.000692536047498
1,03AUG2014,40.07722824427481,4.551744614079729
1,03DEC2011,37.06131536301951,5.5346955810008485
1,03DEC2012,34.31274003392706,6.065779389312977
1,03DEC2013,24.310646395250213,5.82587133163698
1,03DEC2014,26.841103223070398,6.144169804919423
1,03FEB2011,31.139785178965226,6.552221426632739
1,03FEB2012,34.65455979643766,5.172337913486005
