statefips,date,ds_pm_pred,ds_pm_stdd
1,01APR2011,9.407377945716709,3.235884431721798
1,01APR2012,11.620122222222221,4.917164122137405
1,01APR2013,6.637211280746396,1.7001150127226463
1,01APR2014,12.504863698049194,7.537255640373197
1,01AUG2011,14.477443842239184,2.1205181357082274
1,01AUG2012,17.03089423240034,4.251582018659882
1,01AUG2013,13.05852866836302,5.743173197625106
1,01AUG2014,13.639843935538591,5.7612638676844785
1,01DEC2011,9.606747702290077,3.5066512281594573
1,01DEC2012,13.993630873621713,7.409032909245123
1,01DEC2013,16.715492536047496,8.342443681085665
1,01DEC2014,8.941713910093299,3.5429930449533504
1,01FEB2011,10.514756896522478,4.223864016115352
1,01FEB2012,12.727837574215437,5.6457631891433415
1,01FEB2013,6.2616765055131465,3.3668457167090757
1,01FEB2014,8.344067854113657,3.296218066157761
1,01JAN2011,4.8354379397794744,3.482776370653096
1,01JAN2012,8.658708651399492,3.625838507209499
1,01JAN2013,6.842903477523325,2.5435125530110265
1,01JAN2014,19.420017048346054,17.433219932145885
1,01JUL2011,15.708565090754876,3.9254493816793894
1,01JUL2012,21.407307124681935,9.097429262086514
1,01JUL2013,10.826635199321458,4.947678965224767
1,01JUL2014,22.73288320610687,9.084465733672603
1,01JUN2011,21.272456875318067,5.148327830364716
1,01JUN2012,7.767187192536047,3.5212215436810856
1,01JUN2013,6.815961662425784,3.064176929601357
1,01JUN2014,7.66673977947413,2.808178710771841
1,01MAR2011,9.652917324003393,2.4172105521628495
1,01MAR2012,7.731934096692112,2.4450930449533503
1,01MAR2013,8.868960814249364,7.519826039016116
1,01MAR2014,18.16192094995759,11.321665224766752
1,01MAY2011,10.08804378880407,3.2139687345207806
1,01MAY2012,12.630634520780323,5.665083715012723
1,01MAY2013,8.597350720949958,2.4211100084817643
1,01MAY2014,6.380918829516539,4.181485496183206
1,01NOV2011,13.172872999151824,4.368560029686174
1,01NOV2012,10.868296692111958,5.095106276505513
1,01NOV2013,5.928605682782019,2.3665102629346904
1,01NOV2014,4.476353519932146,1.952564461407973
1,01OCT2011,4.679591148430873,1.975461360474979
1,01OCT2012,4.918077099236641,2.1299908396946563
1,01OCT2013,8.9360754028838,2.1199787955894824
1,01OCT2014,14.002691348600509,7.173486259541985
1,01SEP2011,16.448056226463102,4.261264016115352
1,01SEP2012,6.744156318914334,2.438289058524173
1,01SEP2013,16.531521713316373,3.5851008481764204
1,01SEP2014,12.901602968617473,6.654028244274809
1,02APR2011,7.25441117302799,2.878612751484309
1,02APR2012,12.674736980491943,6.916088210347753
1,02APR2013,9.134858863443597,3.768673791348601
1,02APR2014,12.01472824427481,4.7030150975402885
1,02AUG2011,15.932620620016966,3.8048101636980496
1,02AUG2012,14.47184469889737,5.127082612383376
1,02AUG2013,13.793189228159457,3.7737126378286683
1,02AUG2014,12.729300932994063,7.080478795589483
1,02DEC2011,12.322017890585242,3.1756495479219677
1,02DEC2012,9.192600593723494,2.5375381679389313
1,02DEC2013,19.299324257845633,9.088575148430873
1,02DEC2014,13.77833401187447,9.932514927905006
1,02FEB2011,5.990632065309584,2.146909814249364
1,02FEB2012,7.630039949109415,3.0302640373197627
1,02FEB2013,10.927332654792195,5.43964961832061
1,02FEB2014,9.448201950805768,5.248035368956742
1,02JAN2011,4.944667418150976,2.951485324851569
1,02JAN2012,2.931364291772689,1.8770632145886346
1,02JAN2013,10.256074554707379,5.230588464800679
1,02JAN2014,8.2027352841391,3.5998975402883797
1,02JUL2011,17.306687223918573,3.0582267582697202
1,02JUL2012,17.66199109414758,4.000222052586938
1,02JUL2013,12.190401781170484,5.5413119592875315
1,02JUL2014,18.200598218829516,10.859724427480916
1,02JUN2011,25.50245396607294,3.4536808142493642
1,02JUN2012,6.834959711620017,1.958856318914334
1,02JUN2013,6.93058278201866,3.149673774385072
1,02JUN2014,9.342130873621715,5.361458354537744
1,02MAR2011,13.742916666666668,4.386988981340118
1,02MAR2012,8.001937913486005,3.345926717557252
1,02MAR2013,6.56710780322307,2.0080452078032227
1,02MAR2014,14.233818914334181,9.210316454622562
1,02MAY2011,10.058491899067006,3.020863643765903
1,02MAY2012,13.203565905609093,6.0662846071163825
1,02MAY2013,5.399172349448685,2.5848844783715013
1,02MAY2014,7.1841495335029695,3.0411675148430874
1,02NOV2011,13.165170127226464,3.308607428329092
1,02NOV2012,14.085718235793044,4.334477268871925
1,02NOV2013,7.731672179813401,3.3142151823579304
1,02NOV2014,8.351167599660728,5.273771586089907
1,02OCT2011,5.206239926208651,1.9253486183206108
1,02OCT2012,5.992018490245971,2.524055979643766
1,02OCT2013,14.780891178965224,10.93583155216285
1,02OCT2014,8.611614079728584,3.2785893977947413
1,02SEP2011,18.851691081424935,5.330126887192536
1,02SEP2012,7.790744614079728,2.8606248515691264
1,02SEP2013,16.01975368956743,6.589814249363867
1,02SEP2014,8.426882697201018,2.706747328244275
1,03APR2011,9.267009078880408,2.49223054028838
1,03APR2012,8.121000169635284,2.4324435114503817
1,03APR2013,7.831476166242579,3.0962140797285835
1,03APR2014,11.27498651399491,5.999971925360475
1,03AUG2011,17.30395306191688,3.688534139100933
1,03AUG2012,14.703403562340966,5.806689567430025
1,03AUG2013,15.748535114503817,6.271846225614928
1,03AUG2014,11.746251738761663,4.190737998303647
1,03DEC2011,13.007472122137404,4.858912493638677
1,03DEC2012,11.56921518235793,5.702055046649703
1,03DEC2013,11.595017811704835,3.3225451229855807
1,03DEC2014,14.784045038167939,11.237564037319762
1,03FEB2011,7.295046301102629,2.80069873706531
