Location,Unemployed
United States,0.037
Alabama,0.038
Alaska,0.065
Arizona,0.048
Arkansas,0.036
California,0.041
Colorado,0.035
Connecticut,0.039
Delaware,0.036
District of Columbia,0.054
Florida,0.033
Georgia,0.037
Hawaii,0.026
Idaho,0.027
Illinois,0.042
Indiana,0.035
Iowa,0.024
Kansas,0.033
Kentucky,0.043
Louisiana,0.049
Maine,0.035
Maryland,0.038
Massachusetts,0.032
Michigan,0.039
Minnesota,0.028
Mississippi,0.047
Missouri,0.030
Montana,0.037
Nebraska,0.027
Nevada,0.045
New Hampshire,0.024
New Jersey,0.039
New Mexico,0.049
New York,0.038
North Carolina,0.037
North Dakota,0.026
Ohio,0.046
Oklahoma,0.031
Oregon,0.041
Pennsylvania,0.042
Rhode Island,0.039
South Carolina,0.032
South Dakota,0.029
Tennessee,0.034
Texas,0.037
Utah,0.031
Vermont,0.026
Virginia,0.028
Washington,0.044
West Virginia,0.051
Wisconsin,0.030
Wyoming,0.042
Puerto Rico,0.084
