Location,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65
United States,0.238,0.088,0.124,0.257,0.132,0.161
Alabama,0.237,0.088,0.117,0.251,0.136,0.171
Alaska,0.270,0.088,0.132,0.258,0.133,0.121
Arizona,0.244,0.092,0.120,0.243,0.123,0.178
Arkansas,0.249,0.087,0.118,0.247,0.130,0.167
California,0.241,0.093,0.137,0.264,0.122,0.144
Colorado,0.238,0.089,0.139,0.265,0.126,0.143
Connecticut,0.222,0.084,0.112,0.265,0.147,0.171
Delaware,0.220,0.082,0.117,0.249,0.143,0.190
District of Columbia,0.195,0.096,0.212,0.269,0.105,0.124
Florida,0.211,0.081,0.115,0.251,0.136,0.206
Georgia,0.256,0.088,0.124,0.269,0.124,0.140
Hawaii,0.230,0.073,0.124,0.251,0.132,0.191
Idaho,0.269,0.088,0.118,0.241,0.124,0.160
Illinois,0.238,0.089,0.124,0.261,0.133,0.155
Indiana,0.248,0.090,0.118,0.254,0.133,0.157
Iowa,0.247,0.089,0.115,0.245,0.135,0.169
Kansas,0.259,0.093,0.116,0.245,0.132,0.157
Kentucky,0.237,0.090,0.116,0.256,0.137,0.165
Louisiana,0.253,0.091,0.122,0.249,0.131,0.155
Maine,0.193,0.072,0.108,0.256,0.165,0.206
Maryland,0.235,0.084,0.121,0.268,0.138,0.154
Massachusetts,0.212,0.087,0.131,0.263,0.141,0.166
Michigan,0.228,0.091,0.118,0.249,0.143,0.172
Minnesota,0.244,0.084,0.125,0.255,0.137,0.156
Mississippi,0.255,0.091,0.113,0.249,0.131,0.160
Missouri,0.237,0.088,0.120,0.248,0.139,0.169
Montana,0.225,0.082,0.115,0.240,0.147,0.192
Nebraska,0.261,0.087,0.120,0.246,0.130,0.156
Nevada,0.237,0.084,0.129,0.265,0.125,0.159
New Hampshire,0.203,0.081,0.112,0.261,0.162,0.181
New Jersey,0.232,0.083,0.115,0.271,0.138,0.161
New Mexico,0.244,0.091,0.117,0.237,0.133,0.178
New York,0.220,0.087,0.134,0.260,0.135,0.164
North Carolina,0.237,0.085,0.117,0.264,0.133,0.164
North Dakota,0.242,0.108,0.136,0.233,0.132,0.150
Ohio,0.235,0.086,0.119,0.251,0.141,0.170
Oklahoma,0.259,0.087,0.126,0.244,0.127,0.157
Oregon,0.218,0.085,0.129,0.259,0.131,0.177
Pennsylvania,0.220,0.083,0.119,0.252,0.145,0.182
Rhode Island,0.205,0.091,0.127,0.259,0.146,0.173
South Carolina,0.234,0.086,0.113,0.252,0.137,0.179
South Dakota,0.258,0.091,0.114,0.236,0.138,0.164
Tennessee,0.237,0.087,0.120,0.260,0.134,0.163
Texas,0.275,0.094,0.130,0.262,0.114,0.125
Utah,0.311,0.109,0.130,0.244,0.096,0.111
Vermont,0.195,0.081,0.114,0.252,0.159,0.198
Virginia,0.236,0.086,0.122,0.265,0.133,0.158
Washington,0.232,0.084,0.139,0.260,0.130,0.155
West Virginia,0.213,0.082,0.105,0.253,0.146,0.201
Wisconsin,0.231,0.086,0.114,0.256,0.144,0.169
Wyoming,0.243,0.083,0.121,0.244,0.141,0.169
Puerto Rico,0.201,0.096,0.106,0.257,0.134,0.207
