Location,Total
United States,2.5
Alabama,3.1
Alaska,2.1
Arizona,2
Arkansas,3.2
California,1.8
Colorado,2
Connecticut,2.2
Delaware,2.2
District of Columbia,5.6
Florida,2.7
Georgia,2.5
Hawaii,2
Idaho,2.1
Illinois,2.5
Indiana,2.6
Iowa,3.2
Kansas,3.5
Kentucky,3.2
Louisiana,3.4
Maine,2.6
Maryland,2.1
Massachusetts,2.5
Michigan,2.5
Minnesota,2.7
Mississippi,4.3
Missouri,3.1
Montana,3.7
Nebraska,3.6
Nevada,2
New Hampshire,2.1
New Jersey,2.4
New Mexico,1.8
New York,2.9
North Carolina,2.3
North Dakota,4
Ohio,2.9
Oklahoma,3
Oregon,1.7
Pennsylvania,3.1
Rhode Island,2.1
South Carolina,2.7
South Dakota,4.9
Tennessee,3.1
Texas,2.3
Utah,1.8
Vermont,1.9
Virginia,2.2
Washington,1.8
West Virginia,3.8
Wisconsin,2.2
Wyoming,3.3
